County	Address_1	Address_2	City	State	Zip	Phone	Fax	Email	Office_Hours
Pike	514 Broad Street		Milford	PA	18337	570-296-3400	570-296-3406	PikeExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Potter	24 Maple View Lane		Coudersport	PA	16915-9406	814-274-8540	814-274-7891	PotterExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Schuylkill	1202 Ag Center Drive		Pottsville	PA	17901	570-622-4225	570-622-4481	SchuylkillExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Snyder	Snyder County Courthouse	PO Box 217	Middleburg	PA	17842-0217	570-837-4252	570-837-4250	SnyderExt@psu.edu	Monday-Friday 8:30 a.m. - 4:00 p.m. 
Somerset	6024 Glades Pike, Suite 101		Somerset	PA	15501	814-445-8911, Ext. 7	814-443-6739	SomersetExt@psu.edu	Monday-Friday 8:30 a.m. - 4:00 p.m. 
Sullivan	9219 Route 487 STE A		Dushore	PA	18614	570-928-8941	570-928-7469	SullivanExt@psu.edu	Monday-Friday 8:30 a.m. - 4:00 p.m. 
Susquehanna	31 Public Avenue	County Office Building	Montrose	PA	18801-1219	570-278-1158	570-278-2497	SusquehannaExt@psu.edu	Monday-Friday 8:00 a.m. - 4:30 p.m. 
Tioga	118 Main Street	Courthouse Annex	Wellsboro	PA	16901-1495	570-724-9120	570-724-8137	TiogaExt@psu.edu	Monday-Friday 9:00 a.m. - 4:30 p.m. 
Union	343 Chestnut Street, Suite 3		Mifflinburg	PA	17844-1323	570-966-8194	570-966-8199	UnionExt@psu.edu	Monday-Friday 8:00 a.m. - 4:30 p.m. 
Venango	867 Mercer Road		Franklin	PA	16323	814-437-7607	814-432-7123	VenangoExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Warren	100 Dillon Drive, Suite 101		Youngsville	PA	16371	814-563-9388	814-563-7288	WarrenExt@psu.edu	Monday-Friday 10:00 a.m. - 4:30 p.m. , Closed 12:00 p.m. - 1:00 p.m. 
Washington	100 West Beau Street, Suite 601		Washington	PA	15301	724-228-6881	724-228-6883	WashingtonExt@psu.edu	Monday-Friday 9:00 a.m. - 4:30 p.m. 
Wayne	648 Park Street, Suite E		Honesdale	PA	18431	570-253-5970 Ext 4110	570-253-9478	WayneExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Westmoreland	214 Donohoe Road, Suite E	Donohoe Center	Greensburg	PA	15601	724-837-1402	724-837-7613	WestmorelandExt@psu.edu	Monday-Friday 8:30 a.m. - 4:30 p.m. 
Wyoming	71 Hollowcrest Road, Suite 2		Tunkhannock	PA	18657	570-836-3196	570-836-3697	WyomingExt@psu.edu	Monday-Friday 8:30 a.m. - 4:00 p.m. 
York	112 Pleasant Acres Road		York	PA	17402-9041	717-840-7408	717-755-5968	YorkExt@psu.edu	Monday-Friday 8:00 a.m. - 4:30 p.m. 
