zipcode	locationtext	county
15083	Sutersville, PA	Westmoreland
15084	Tarentum, PA	Allegheny
15085	Trafford, PA	Westmoreland
15086	Warrendale, PA	Allegheny
15087	Webster, PA	Westmoreland
15088	West Elizabeth, PA	Allegheny
15089	West Newton, PA	Westmoreland
15090	Wexford, PA	Allegheny
15091	Wildwood, PA	Allegheny
15095	Warrendale, PA	Allegheny
15096	Warrendale, PA	Allegheny
15101	Allison Park, PA	Allegheny
15102	Bethel Park, PA	Allegheny
15104	Braddock, PA	Allegheny
15106	Carnegie, PA	Allegheny
15108	Coraopolis, PA	Allegheny
15110	Duquesne, PA	Allegheny
15112	East Pittsburgh, PA	Allegheny
15116	Glenshaw, PA	Allegheny
15120	Homestead, PA	Allegheny
15122	West Mifflin, PA	Allegheny
15123	West Mifflin, PA	Allegheny
15126	Imperial, PA	Allegheny
15127	Ingomar, PA	Allegheny
15129	South Park, PA	Allegheny
15131	Mckeesport, PA	Allegheny
15132	Mckeesport, PA	Allegheny
15133	Mckeesport, PA	Allegheny
15134	Mckeesport, PA	Allegheny
15135	Mckeesport, PA	Allegheny
15136	Mc Kees Rocks, PA	Allegheny
15137	North Versailles, PA	Allegheny
15139	Oakmont, PA	Allegheny
15140	Pitcairn, PA	Allegheny
15142	Presto, PA	Allegheny
15143	Sewickley, PA	Allegheny
15144	Springdale, PA	Allegheny
15145	Turtle Creek, PA	Allegheny
15146	Monroeville, PA	Allegheny
15147	Verona, PA	Allegheny
15148	Wilmerding, PA	Allegheny
15201	Pittsburgh, PA	Allegheny
15202	Pittsburgh, PA	Allegheny
15203	Pittsburgh, PA	Allegheny
15204	Pittsburgh, PA	Allegheny
15205	Pittsburgh, PA	Allegheny
15206	Pittsburgh, PA	Allegheny
15207	Pittsburgh, PA	Allegheny
15208	Pittsburgh, PA	Allegheny
15209	Pittsburgh, PA	Allegheny
15210	Pittsburgh, PA	Allegheny
15211	Pittsburgh, PA	Allegheny
15212	Pittsburgh, PA	Allegheny
15213	Pittsburgh, PA	Allegheny
15214	Pittsburgh, PA	Allegheny
15215	Pittsburgh, PA	Allegheny
15216	Pittsburgh, PA	Allegheny
15217	Pittsburgh, PA	Allegheny
15218	Pittsburgh, PA	Allegheny
15219	Pittsburgh, PA	Allegheny
15220	Pittsburgh, PA	Allegheny
15221	Pittsburgh, PA	Allegheny
15222	Pittsburgh, PA	Allegheny
15223	Pittsburgh, PA	Allegheny
15224	Pittsburgh, PA	Allegheny
15225	Pittsburgh, PA	Allegheny
15226	Pittsburgh, PA	Allegheny
15227	Pittsburgh, PA	Allegheny
15228	Pittsburgh, PA	Allegheny
15229	Pittsburgh, PA	Allegheny
15230	Pittsburgh, PA	Allegheny
15231	Pittsburgh, PA	Allegheny
15232	Pittsburgh, PA	Allegheny
15233	Pittsburgh, PA	Allegheny
15234	Pittsburgh, PA	Allegheny
15235	Pittsburgh, PA	Allegheny
15236	Pittsburgh, PA	Allegheny
15237	Pittsburgh, PA	Allegheny
15238	Pittsburgh, PA	Allegheny
15239	Pittsburgh, PA	Allegheny
15240	Pittsburgh, PA	Allegheny
15241	Pittsburgh, PA	Allegheny
15242	Pittsburgh, PA	Allegheny
15243	Pittsburgh, PA	Allegheny
15244	Pittsburgh, PA	Allegheny
15250	Pittsburgh, PA	Allegheny
15251	Pittsburgh, PA	Allegheny
15252	Pittsburgh, PA	Allegheny
15253	Pittsburgh, PA	Allegheny
15254	Pittsburgh, PA	Allegheny
15255	Pittsburgh, PA	Allegheny
15257	Pittsburgh, PA	Allegheny
15258	Pittsburgh, PA	Allegheny
15259	Pittsburgh, PA	Allegheny
15260	Pittsburgh, PA	Allegheny
15261	Pittsburgh, PA	Allegheny
15262	Pittsburgh, PA	Allegheny
15263	Pittsburgh, PA	Allegheny
15264	Pittsburgh, PA	Allegheny
15265	Pittsburgh, PA	Allegheny
15266	Pittsburgh, PA	Allegheny
15267	Pittsburgh, PA	Allegheny
15268	Pittsburgh, PA	Allegheny
15270	Pittsburgh, PA	Allegheny
15272	Pittsburgh, PA	Allegheny
15273	Pittsburgh, PA	Allegheny
15274	Pittsburgh, PA	Allegheny
15275	Pittsburgh, PA	Allegheny
15276	Pittsburgh, PA	Allegheny
15277	Pittsburgh, PA	Allegheny
15278	Pittsburgh, PA	Allegheny
15279	Pittsburgh, PA	Allegheny
15281	Pittsburgh, PA	Allegheny
15282	Pittsburgh, PA	Allegheny
15283	Pittsburgh, PA	Allegheny
15285	Pittsburgh, PA	Allegheny
15286	Pittsburgh, PA	Allegheny
15288	Pittsburgh, PA	Allegheny
15289	Pittsburgh, PA	Allegheny
15290	Pittsburgh, PA	Allegheny
15295	Pittsburgh, PA	Allegheny
15301	Washington, PA	Washington
15310	Aleppo, PA	Greene
15311	Amity, PA	Washington
15312	Avella, PA	Washington
15313	Beallsville, PA	Washington
15314	Bentleyville, PA	Washington
15315	Bobtown, PA	Greene
15316	Brave, PA	Greene
15317	Canonsburg, PA	Washington
15320	Carmichaels, PA	Greene
15321	Cecil, PA	Washington
15322	Clarksville, PA	Greene
15323	Claysville, PA	Washington
15324	Cokeburg, PA	Washington
15325	Crucible, PA	Greene
15327	Dilliner, PA	Greene
15329	Prosperity, PA	Washington
15330	Eighty Four, PA	Washington
15331	Ellsworth, PA	Washington
15332	Finleyville, PA	Washington
15333	Fredericktown, PA	Washington
15334	Garards Fort, PA	Greene
15336	Gastonville, PA	Washington
15337	Graysville, PA	Greene
15338	Greensboro, PA	Greene
15339	Hendersonville, PA	Washington
15340	Hickory, PA	Washington
15341	Holbrook, PA	Greene
15342	Houston, PA	Washington
15344	Jefferson, PA	Greene
15345	Marianna, PA	Washington
15346	Mather, PA	Greene
15347	Meadow Lands, PA	Washington
15348	Millsboro, PA	Washington
15349	Mount Morris, PA	Greene
15350	Muse, PA	Washington
15351	Nemacolin, PA	Greene
15352	New Freeport, PA	Greene
15353	Nineveh, PA	Greene
15357	Rices Landing, PA	Greene
15358	Richeyville, PA	Washington
15359	Rogersville, PA	Greene
15360	Scenery Hill, PA	Washington
15361	Southview, PA	Washington
15362	Spraggs, PA	Greene
15363	Strabane, PA	Washington
15364	Sycamore, PA	Greene
15365	Taylorstown, PA	Washington
15366	Van Voorhis, PA	Washington
15367	Venetia, PA	Washington
15368	Vestaburg, PA	Washington
15370	Waynesburg, PA	Greene
15376	West Alexander, PA	Washington
15377	West Finley, PA	Washington
15378	Westland, PA	Washington
15379	West Middletown, PA	Washington
15380	Wind Ridge, PA	Greene
15401	Uniontown, PA	Fayette
15410	Adah, PA	Fayette
15411	Addison, PA	Somerset
15412	Allenport, PA	Washington
15413	Allison, PA	Fayette
15415	Brier Hill, PA	Fayette
15416	Brownfield, PA	Fayette
15417	Brownsville, PA	Fayette
15419	California, PA	Washington
15420	Cardale, PA	Fayette
15421	Chalk Hill, PA	Fayette
15422	Chestnut Ridge, PA	Fayette
15423	Coal Center, PA	Washington
15424	Confluence, PA	Somerset
15425	Connellsville, PA	Fayette
15427	Daisytown, PA	Washington
15428	Dawson, PA	Fayette
15429	Denbo, PA	Washington
15430	Dickerson Run, PA	Fayette
15431	Dunbar, PA	Fayette
15432	Dunlevy, PA	Washington
15433	East Millsboro, PA	Fayette
15434	Elco, PA	Washington
15435	Fairbank, PA	Fayette
15436	Fairchance, PA	Fayette
15437	Farmington, PA	Fayette
15438	Fayette City, PA	Fayette
15439	Gans, PA	Fayette
15440	Gibbon Glade, PA	Fayette
15442	Grindstone, PA	Fayette
15443	Hibbs, PA	Fayette
15444	Hiller, PA	Fayette
15445	Hopwood, PA	Fayette
15446	Indian Head, PA	Fayette
15447	Isabella, PA	Fayette
15448	Jacobs Creek, PA	Westmoreland
15449	Keisterville, PA	Fayette
15450	La Belle, PA	Fayette
15451	Lake Lynn, PA	Fayette
15454	Leckrone, PA	Fayette
15455	Leisenring, PA	Fayette
15456	Lemont Furnace, PA	Fayette
15458	Mc Clellandtown, PA	Fayette
15459	Markleysburg, PA	Fayette
15460	Martin, PA	Fayette
15461	Masontown, PA	Fayette
15462	Melcroft, PA	Fayette
15463	Merrittstown, PA	Fayette
15464	Mill Run, PA	Fayette
15465	Mount Braddock, PA	Fayette
15466	Newell, PA	Fayette
15467	New Geneva, PA	Fayette
15468	New Salem, PA	Fayette
15469	Normalville, PA	Fayette
15470	Ohiopyle, PA	Fayette
15472	Oliver, PA	Fayette
15473	Perryopolis, PA	Fayette
15474	Point Marion, PA	Fayette
15475	Republic, PA	Fayette
15476	Ronco, PA	Fayette
15477	Roscoe, PA	Washington
15478	Smithfield, PA	Fayette
15479	Smithton, PA	Westmoreland
15480	Smock, PA	Fayette
15482	Star Junction, PA	Fayette
15483	Stockdale, PA	Washington
15484	Uledi, PA	Fayette
15485	Ursina, PA	Somerset
15486	Vanderbilt, PA	Fayette
15488	Waltersburg, PA	Fayette
15489	West Leisenring, PA	Fayette
15490	White, PA	Fayette
15492	Wickhaven, PA	Fayette
15501	Somerset, PA	Somerset
15502	Hidden Valley, PA	Somerset
15510	Somerset, PA	Somerset
15520	Acosta, PA	Somerset
15521	Alum Bank, PA	Bedford
15522	Bedford, PA	Bedford
15530	Berlin, PA	Somerset
15531	Boswell, PA	Somerset
15532	Boynton, PA	Somerset
15533	Breezewood, PA	Bedford
15534	Buffalo Mills, PA	Bedford
15535	Clearville, PA	Bedford
15536	Crystal Spring, PA	Fulton
15537	Everett, PA	Bedford
15538	Fairhope, PA	Somerset
15539	Fishertown, PA	Bedford
15540	Fort Hill, PA	Somerset
15541	Friedens, PA	Somerset
15542	Garrett, PA	Somerset
15544	Gray, PA	Somerset
15545	Hyndman, PA	Bedford
15546	Jenners, PA	Somerset
15547	Jennerstown, PA	Somerset
15548	Kantner, PA	Somerset
15549	Listie, PA	Somerset
15550	Manns Choice, PA	Bedford
15551	Markleton, PA	Somerset
15552	Meyersdale, PA	Somerset
15553	New Baltimore, PA	Somerset
15554	New Paris, PA	Bedford
15555	Quecreek, PA	Somerset
15557	Rockwood, PA	Somerset
15558	Salisbury, PA	Somerset
15559	Schellsburg, PA	Bedford
15560	Shanksville, PA	Somerset
15561	Sipesville, PA	Somerset
15562	Springs, PA	Somerset
15563	Stoystown, PA	Somerset
15564	Wellersburg, PA	Somerset
15565	West Salisbury, PA	Somerset
15601	Greensburg, PA	Westmoreland
15605	Greensburg, PA	Westmoreland
15606	Greensburg, PA	Westmoreland
15610	Acme, PA	Westmoreland
15611	Adamsburg, PA	Westmoreland
15612	Alverton, PA	Westmoreland
15613	Apollo, PA	Westmoreland
15615	Ardara, PA	Westmoreland
15616	Armbrust, PA	Westmoreland
15617	Arona, PA	Westmoreland
15618	Avonmore, PA	Westmoreland
15619	Bovard, PA	Westmoreland
15620	Bradenville, PA	Westmoreland
15621	Calumet, PA	Westmoreland
15622	Champion, PA	Fayette
15623	Claridge, PA	Westmoreland
15624	Crabtree, PA	Westmoreland
15625	Darragh, PA	Westmoreland
15626	Delmont, PA	Westmoreland
15627	Derry, PA	Westmoreland
15628	Donegal, PA	Westmoreland
15629	East Vandergrift, PA	Westmoreland
15631	Everson, PA	Fayette
15632	Export, PA	Westmoreland
15633	Forbes Road, PA	Westmoreland
15634	Grapeville, PA	Westmoreland
15635	Hannastown, PA	Westmoreland
15636	Harrison City, PA	Westmoreland
15637	Herminie, PA	Westmoreland
15638	Hostetter, PA	Westmoreland
15639	Hunker, PA	Westmoreland
15640	Hutchinson, PA	Westmoreland
15641	Hyde Park, PA	Westmoreland
15642	Irwin, PA	Westmoreland
15644	Jeannette, PA	Westmoreland
15646	Jones Mills, PA	Westmoreland
15647	Larimer, PA	Westmoreland
15650	Latrobe, PA	Westmoreland
15655	Laughlintown, PA	Westmoreland
15656	Leechburg, PA	Armstrong
15658	Ligonier, PA	Westmoreland
15660	Lowber, PA	Westmoreland
15661	Loyalhanna, PA	Westmoreland
15662	Luxor, PA	Westmoreland
15663	Madison, PA	Westmoreland
15664	Mammoth, PA	Westmoreland
15665	Manor, PA	Westmoreland
15666	Mount Pleasant, PA	Westmoreland
15668	Murrysville, PA	Westmoreland
15670	New Alexandria, PA	Westmoreland
15671	New Derry, PA	Westmoreland
15672	New Stanton, PA	Westmoreland
15673	North Apollo, PA	Armstrong
15674	Norvelt, PA	Westmoreland
15675	Penn, PA	Westmoreland
15676	Pleasant Unity, PA	Westmoreland
15677	Rector, PA	Westmoreland
15678	Rillton, PA	Westmoreland
15679	Ruffs Dale, PA	Westmoreland
15680	Salina, PA	Westmoreland
15681	Saltsburg, PA	Indiana
15682	Schenley, PA	Armstrong
15683	Scottdale, PA	Westmoreland
15684	Slickville, PA	Westmoreland
15685	Southwest, PA	Westmoreland
15686	Spring Church, PA	Armstrong
15687	Stahlstown, PA	Westmoreland
15688	Tarrs, PA	Westmoreland
15689	United, PA	Westmoreland
15690	Vandergrift, PA	Westmoreland
15691	Wendel, PA	Westmoreland
15692	Westmoreland City, PA	Westmoreland
15693	Whitney, PA	Westmoreland
15695	Wyano, PA	Westmoreland
15696	Youngstown, PA	Westmoreland
15697	Youngwood, PA	Westmoreland
15698	Yukon, PA	Westmoreland
15701	Indiana, PA	Indiana
15705	Indiana, PA	Indiana
15710	Alverda, PA	Indiana
15711	Anita, PA	Jefferson
15712	Arcadia, PA	Indiana
15713	Aultman, PA	Indiana
15714	Northern Cambria, PA	Cambria
15715	Big Run, PA	Jefferson
15716	Black Lick, PA	Indiana
15717	Blairsville, PA	Indiana
15720	Brush Valley, PA	Indiana
15721	Burnside, PA	Clearfield
15722	Carrolltown, PA	Cambria
15723	Chambersville, PA	Indiana
15724	Cherry Tree, PA	Indiana
15725	Clarksburg, PA	Indiana
15727	Clune, PA	Indiana
15728	Clymer, PA	Indiana
15729	Commodore, PA	Indiana
15730	Coolspring, PA	Jefferson
15731	Coral, PA	Indiana
15732	Creekside, PA	Indiana
15733	De Lancey, PA	Jefferson
15734	Dixonville, PA	Indiana
15736	Elderton, PA	Armstrong
15737	Elmora, PA	Cambria
15738	Emeigh, PA	Cambria
15739	Ernest, PA	Indiana
15740	Frostburg, PA	Jefferson
15741	Gipsy, PA	Indiana
15742	Glen Campbell, PA	Indiana
15744	Hamilton, PA	Jefferson
15745	Heilwood, PA	Indiana
15746	Hillsdale, PA	Indiana
15747	Home, PA	Indiana
15748	Homer City, PA	Indiana
15750	Josephine, PA	Indiana
15752	Kent, PA	Indiana
15753	La Jose, PA	Clearfield
15754	Lucernemines, PA	Indiana
15756	Mc Intyre, PA	Indiana
15757	Mahaffey, PA	Clearfield
15758	Marchand, PA	Indiana
15759	Marion Center, PA	Indiana
15760	Marsteller, PA	Cambria
15761	Mentcle, PA	Indiana
15762	Nicktown, PA	Cambria
15763	Northpoint, PA	Indiana
15764	Oliveburg, PA	Jefferson
15765	Penn Run, PA	Indiana
15767	Punxsutawney, PA	Jefferson
15770	Ringgold, PA	Jefferson
15771	Rochester Mills, PA	Indiana
15772	Rossiter, PA	Indiana
15773	Saint Benedict, PA	Cambria
15774	Shelocta, PA	Indiana
15775	Spangler, PA	Cambria
15776	Sprankle Mills, PA	Jefferson
15777	Starford, PA	Indiana
15778	Timblin, PA	Jefferson
15779	Torrance, PA	Westmoreland
15780	Valier, PA	Jefferson
15781	Walston, PA	Jefferson
15783	West Lebanon, PA	Indiana
15784	Worthville, PA	Jefferson
15801	Du Bois, PA	Clearfield
15821	Benezett, PA	Elk
15822	Brandy Camp, PA	Elk
15823	Brockport, PA	Elk
15824	Brockway, PA	Jefferson
15825	Brookville, PA	Jefferson
15827	Byrnedale, PA	Elk
15828	Clarington, PA	Forest
15829	Corsica, PA	Jefferson
15831	Dagus Mines, PA	Elk
15832	Driftwood, PA	Cameron
15834	Emporium, PA	Cameron
15840	Falls Creek, PA	Jefferson
15841	Force, PA	Elk
15845	Johnsonburg, PA	Elk
15846	Kersey, PA	Elk
15847	Knox Dale, PA	Jefferson
15848	Luthersburg, PA	Clearfield
15849	Penfield, PA	Clearfield
15851	Reynoldsville, PA	Jefferson
15853	Ridgway, PA	Elk
15856	Rockton, PA	Clearfield
15857	Saint Marys, PA	Elk
15860	Sigel, PA	Jefferson
15861	Sinnamahoning, PA	Cameron
15863	Stump Creek, PA	Jefferson
15864	Summerville, PA	Jefferson
15865	Sykesville, PA	Jefferson
15866	Troutville, PA	Clearfield
15868	Weedville, PA	Elk
15870	Wilcox, PA	Elk
15901	Johnstown, PA	Cambria
15902	Johnstown, PA	Cambria
15904	Johnstown, PA	Cambria
15905	Johnstown, PA	Cambria
15906	Johnstown, PA	Cambria
15907	Johnstown, PA	Cambria
15909	Johnstown, PA	Cambria
15915	Johnstown, PA	Cambria
15920	Armagh, PA	Indiana
15921	Beaverdale, PA	Cambria
15922	Belsano, PA	Cambria
15923	Bolivar, PA	Westmoreland
15924	Cairnbrook, PA	Somerset
15925	Cassandra, PA	Cambria
15926	Central City, PA	Somerset
15927	Colver, PA	Cambria
15928	Davidsville, PA	Somerset
15929	Dilltown, PA	Indiana
15930	Dunlo, PA	Cambria
15931	Ebensburg, PA	Cambria
15934	Elton, PA	Cambria
15935	Hollsopple, PA	Somerset
15936	Hooversville, PA	Somerset
15937	Jerome, PA	Somerset
15938	Lilly, PA	Cambria
15940	Loretto, PA	Cambria
15942	Mineral Point, PA	Cambria
15943	Nanty Glo, PA	Cambria
15944	New Florence, PA	Westmoreland
15945	Parkhill, PA	Cambria
15946	Portage, PA	Cambria
15948	Revloc, PA	Cambria
15949	Robinson, PA	Indiana
15951	Saint Michael, PA	Cambria
15952	Salix, PA	Cambria
15953	Seanor, PA	Somerset
15954	Seward, PA	Westmoreland
15955	Sidman, PA	Cambria
15956	South Fork, PA	Cambria
15957	Strongstown, PA	Indiana
15958	Summerhill, PA	Cambria
15959	Tire Hill, PA	Somerset
15960	Twin Rocks, PA	Cambria
15961	Vintondale, PA	Cambria
15962	Wilmore, PA	Cambria
15963	Windber, PA	Somerset
16001	Butler, PA	Butler
16002	Butler, PA	Butler
16003	Butler, PA	Butler
16016	Boyers, PA	Butler
16017	Boyers, PA	Butler
16018	Boyers, PA	Butler
16020	Boyers, PA	Butler
16021	Branchton, PA	Butler
16022	Bruin, PA	Butler
16023	Cabot, PA	Butler
16024	Callery, PA	Butler
16025	Chicora, PA	Butler
16027	Connoquenessing, PA	Butler
16028	East Brady, PA	Clarion
16029	East Butler, PA	Butler
16030	Eau Claire, PA	Butler
16033	Evans City, PA	Butler
16034	Fenelton, PA	Butler
16035	Forestville, PA	Butler
16036	Foxburg, PA	Clarion
16037	Harmony, PA	Butler
16038	Harrisville, PA	Butler
16039	Herman, PA	Butler
16040	Hilliards, PA	Butler
16041	Karns City, PA	Butler
16045	Lyndora, PA	Butler
16046	Mars, PA	Butler
16048	North Washington, PA	Butler
16049	Parker, PA	Clarion
16050	Petrolia, PA	Butler
16051	Portersville, PA	Butler
16052	Prospect, PA	Butler
16053	Renfrew, PA	Butler
16054	Saint Petersburg, PA	Clarion
16055	Sarver, PA	Butler
16056	Saxonburg, PA	Butler
16057	Slippery Rock, PA	Butler
16058	Turkey City, PA	Clarion
16059	Valencia, PA	Butler
16061	West Sunbury, PA	Butler
16063	Zelienople, PA	Butler
16066	Cranberry Twp, PA	Butler
16101	New Castle, PA	Lawrence
16102	New Castle, PA	Lawrence
16103	New Castle, PA	Lawrence
16105	New Castle, PA	Lawrence
16107	New Castle, PA	Lawrence
16108	New Castle, PA	Lawrence
16110	Adamsville, PA	Crawford
16111	Atlantic, PA	Crawford
16112	Bessemer, PA	Lawrence
16113	Clark, PA	Mercer
16114	Clarks Mills, PA	Mercer
16115	Darlington, PA	Beaver
16116	Edinburg, PA	Lawrence
16117	Ellwood City, PA	Lawrence
16120	Enon Valley, PA	Lawrence
16121	Farrell, PA	Mercer
16123	Fombell, PA	Beaver
16124	Fredonia, PA	Mercer
16125	Greenville, PA	Mercer
16127	Grove City, PA	Mercer
16130	Hadley, PA	Mercer
16131	Hartstown, PA	Crawford
16132	Hillsville, PA	Lawrence
16133	Jackson Center, PA	Mercer
16134	Jamestown, PA	Mercer
16136	Koppel, PA	Beaver
16137	Mercer, PA	Mercer
16140	New Bedford, PA	Lawrence
16141	New Galilee, PA	Lawrence
16142	New Wilmington, PA	Lawrence
16143	Pulaski, PA	Lawrence
16145	Sandy Lake, PA	Mercer
16146	Sharon, PA	Mercer
16148	Hermitage, PA	Mercer
16150	Sharpsville, PA	Mercer
16151	Sheakleyville, PA	Mercer
16153	Stoneboro, PA	Mercer
16154	Transfer, PA	Mercer
16155	Villa Maria, PA	Lawrence
16156	Volant, PA	Lawrence
16157	Wampum, PA	Lawrence
16159	West Middlesex, PA	Mercer
16160	West Pittsburg, PA	Lawrence
16161	Wheatland, PA	Mercer
16172	New Wilmington, PA	Lawrence
16201	Kittanning, PA	Armstrong
16210	Adrian, PA	Armstrong
16211	Beyer, PA	Indiana
16212	Cadogan, PA	Armstrong
16213	Callensburg, PA	Clarion
16214	Clarion, PA	Clarion
16215	Kittanning, PA	Armstrong
16217	Cooksburg, PA	Forest
16218	Cowansville, PA	Armstrong
16220	Crown, PA	Clarion
16221	Curllsville, PA	Clarion
16222	Dayton, PA	Armstrong
16223	Distant, PA	Armstrong
16224	Fairmount City, PA	Clarion
16225	Fisher, PA	Clarion
16226	Ford City, PA	Armstrong
16228	Ford Cliff, PA	Armstrong
16229	Freeport, PA	Armstrong
16230	Hawthorn, PA	Clarion
16232	Knox, PA	Clarion
16233	Leeper, PA	Clarion
16234	Limestone, PA	Clarion
16235	Lucinda, PA	Clarion
16236	Mc Grann, PA	Armstrong
16238	Manorville, PA	Armstrong
16239	Marienville, PA	Forest
16240	Mayport, PA	Jefferson
16242	New Bethlehem, PA	Clarion
16244	Nu Mine, PA	Armstrong
16245	Oak Ridge, PA	Armstrong
16246	Plumville, PA	Indiana
16248	Rimersburg, PA	Clarion
16249	Rural Valley, PA	Armstrong
16250	Sagamore, PA	Armstrong
16253	Seminole, PA	Armstrong
16254	Shippenville, PA	Clarion
16255	Sligo, PA	Clarion
16256	Smicksburg, PA	Indiana
16257	Snydersburg, PA	Clarion
16258	Strattanville, PA	Clarion
16259	Templeton, PA	Armstrong
16260	Vowinckel, PA	Clarion
16261	Widnoon, PA	Armstrong
16262	Worthington, PA	Armstrong
16263	Yatesboro, PA	Armstrong
16301	Oil City, PA	Venango
16311	Carlton, PA	Mercer
16312	Chandlers Valley, PA	Warren
16313	Clarendon, PA	Warren
16314	Cochranton, PA	Crawford
16316	Conneaut Lake, PA	Crawford
16317	Cooperstown, PA	Venango
16319	Cranberry, PA	Venango
16321	East Hickory, PA	Forest
16322	Endeavor, PA	Forest
16323	Franklin, PA	Venango
16326	Fryburg, PA	Clarion
16327	Guys Mills, PA	Crawford
16328	Hydetown, PA	Crawford
16329	Irvine, PA	Warren
16331	Kossuth, PA	Clarion
16332	Lickingville, PA	Clarion
16333	Ludlow, PA	McKean
16334	Marble, PA	Clarion
16335	Meadville, PA	Crawford
16340	Pittsfield, PA	Warren
16341	Pleasantville, PA	Bedford
16341	Pleasantville, PA	Venango
16342	Polk, PA	Venango
16343	Reno, PA	Venango
16344	Rouseville, PA	Venango
16345	Russell, PA	Warren
16346	Seneca, PA	Venango
16347	Sheffield, PA	Warren
16350	Sugar Grove, PA	Warren
16351	Tidioute, PA	Warren
16352	Tiona, PA	Warren
16353	Tionesta, PA	Forest
16354	Titusville, PA	Venango
16360	Townville, PA	Crawford
16361	Tylersburg, PA	Clarion
16362	Utica, PA	Venango
16364	Venus, PA	Venango
16365	Warren, PA	Warren
16366	Warren, PA	Warren
16367	Warren, PA	Warren
16368	Warren, PA	Warren
16369	Warren, PA	Warren
16370	West Hickory, PA	Forest
16371	Youngsville, PA	Warren
16372	Clintonville, PA	Venango
16373	Emlenton, PA	Venango
16374	Kennerdell, PA	Venango
16375	Lamartine, PA	Clarion
16388	Meadville, PA	Crawford
16401	Albion, PA	Erie
16402	Bear Lake, PA	Warren
16403	Cambridge Springs, PA	Crawford
16404	Centerville, PA	Crawford
16405	Columbus, PA	Warren
16406	Conneautville, PA	Crawford
16407	Corry, PA	Erie
16410	Cranesville, PA	Erie
16411	East Springfield, PA	Erie
16412	Edinboro, PA	Erie
16413	Elgin, PA	Erie
16415	Fairview, PA	Erie
16416	Garland, PA	Warren
16417	Girard, PA	Erie
16420	Grand Valley, PA	Warren
16421	Harborcreek, PA	Erie
16422	Harmonsburg, PA	Crawford
16423	Lake City, PA	Erie
16424	Linesville, PA	Crawford
16426	Mc Kean, PA	Erie
16427	Mill Village, PA	Erie
16428	North East, PA	Erie
16430	North Springfield, PA	Erie
16432	Riceville, PA	Crawford
16433	Saegertown, PA	Crawford
16434	Spartansburg, PA	Crawford
16435	Springboro, PA	Crawford
16436	Spring Creek, PA	Warren
16438	Union City, PA	Erie
16440	Venango, PA	Crawford
16441	Waterford, PA	Erie
16442	Wattsburg, PA	Erie
16443	West Springfield, PA	Erie
16444	Edinboro, PA	Erie
16475	Albion, PA	Erie
16501	Erie, PA	Erie
16502	Erie, PA	Erie
16503	Erie, PA	Erie
16504	Erie, PA	Erie
16505	Erie, PA	Erie
16506	Erie, PA	Erie
16507	Erie, PA	Erie
16508	Erie, PA	Erie
16509	Erie, PA	Erie
16510	Erie, PA	Erie
16511	Erie, PA	Erie
16512	Erie, PA	Erie
16514	Erie, PA	Erie
16515	Erie, PA	Erie
16522	Erie, PA	Erie
16530	Erie, PA	Erie
16531	Erie, PA	Erie
16532	Erie, PA	Erie
16533	Erie, PA	Erie
